TARGET_BOOK,TARGET_LINE,TARGET_TEXT,SOURCE_BOOK,SOURCE_LINE,SOURCE_TEXT,TYPE,AUTH,NOTES
1,47,soror et coniunx,16,432,κασιγνήτην ἄλοχόν τε,soror et coniunx κασιγνήτην ἄλοχόν τε,Knauer,
1,48,quisquam numen  adoret,7,447,τις νόον  μῆτιν ἐνίψει,quisquam numen  adoret τις νόον  μῆτιν ἐνίψει,Knauer,
1,50,corde volutans,21,137,ὅρμηνεν  θυμὸν ,corde volutans ὅρμηνεν  θυμὸν ,Knauer,
1,64,tum  vocibus,14,232,ἔπος  ἔκ,tum  vocibus ἔπος  ἔκ,Knauer,Semantic Range question (Ek can be an adv meaning therefrom?)
1,65,divom pater atque hominum rex,14,233,ἄναξ  τε θεῶν  τ᾽ ἀνθρώπων,divom pater atque hominum rex ἄναξ  τε θεῶν  τ᾽ ἀνθρώπων,Knauer,
1,65,namque tibi,24,334,σοὶ γάρ τε,namque tibi σοὶ γάρ τε,Knauer,
1,65,namque tibi,4,286,σφῶϊγὰρ ,namque tibi σφῶϊγὰρ ,Knauer,
1,65,divom pater atque hominum,1,544,πατὴρ ἀνδρῶν τε θεῶν τε,divom pater atque hominum πατὴρ ἀνδρῶν τε θεῶν τε,Knauer,
1,65,divom pater atque hominum,8,49,πατὴρ ἀνδρῶν τε θεῶν τε,divom pater atque hominum πατὴρ ἀνδρῶν τε θεῶν τε,Knauer,
1,65,divom pater atque hominum,15,12,πατὴρ ἀνδρῶν τε θεῶν τε,divom pater atque hominum πατὴρ ἀνδρῶν τε θεῶν τε,Knauer,
1,71,sunt mihi,9,144,μοί εἰσι ,sunt mihi μοί εἰσι ,Knauer,
1,73,conubiodicabo,14,268,ὀπυιέμεναικεκλῆσθαι,conubiodicabo ὀπυιέμεναικεκλῆσθαι,Knauer,Parts of speech question: wife, the noun, and marry/take a wife, the verb
1,74,omnis  annos,14,276,ἤματα πάντα,omnis  annos ἤματα πάντα,Knauer,Semantic range question: years and days
1,76,quid optes,14,195,ὅ τι φρονέεις,quid optes ὅ τι φρονέεις,Knauer,Semantic range question
1,76,quid optes,18,426,ὅ τι φρονέεις,quid optes ὅ τι φρονέεις,Knauer,
1,85,Eurusque Notusque,2,145,Εὖρός τε Νότος τε,Eurusque Notusque Εὖρός τε Νότος τε,Knauer,
1,91,intentantmortem,15,628,θανάτοιο φέρονται,intentantmortem θανάτοιο φέρονται,Knauer,
1,93,ingemit  ad sidera,21,272,ᾤμωξεν  εἰς οὐρανὸν,ingemit  ad sidera ᾤμωξεν  εἰς οὐρανὸν,Knauer,
1,93,tendens ad sidera palmas,15,371,χεῖρ᾽ ὀρέγων εἰς οὐρανὸν ἀστερόεντα,tendens ad sidera palmas χεῖρ᾽ ὀρέγων εἰς οὐρανὸν ἀστερόεντα,Knauer,Semantic range question- stars versus starry sky.
1,93,tendens  palmas,1,450,χεῖρας ἀνασχών,tendens  palmas χεῖρας ἀνασχών,Knauer,
1,93,tendens  palmas,3,275,χεῖρας ἀνασχών,tendens  palmas χεῖρας ἀνασχών,Knauer,
1,93,tendens  palmas,19,254,χεῖρας ἀνασχὼν,tendens  palmas χεῖρας ἀνασχὼν,Knauer,
1,94,voce refert,1,201,ἔπεα  προσηύδα,voce refert ἔπεα  προσηύδα,Knauer,
1,95,quis  patrum,21,273,πάτερ  τίς,quis  patrum πάτερ  τίς,Knauer,
1,95,sub moenibus,21,277,ὑπὸ τείχεϊ ,sub moenibus ὑπὸ τείχεϊ ,Knauer,
1,96,Danaum fortissime,6,98,κάρτιστον Ἀχαιῶν,Danaum fortissime κάρτιστον Ἀχαιῶν,Knauer,
1,96,Danaum fortissime,16,21,φέρτατ᾽ Ἀχαιῶν,Danaum fortissime φέρτατ᾽ Ἀχαιῶν,Knauer,
1,97,mene  occumbere,21,279,μ᾽  κτεῖναι,mene  occumbere μ᾽  κτεῖναι,Knauer,Semantic range question- to die (Latin) versus to kill (Greek) 
1,97,mene Iliacis,21,277,μ᾽  Τρώων,mene Iliacis μ᾽  Τρώων,Knauer,
1,98,non  animam,5,250,μή  ἦτορ,non  animam μή  ἦτορ,Knauer,
1,99,Aeacidae telo,22,319,αἰχμῆς  Ἀχιλλεὺς,Aeacidae telo αἰχμῆς  Ἀχιλλεὺς,Knauer,
1,100,ubi tot Simois,12,22,Σιμόεις ὅθι πολλὰ,ubi tot Simois Σιμόεις ὅθι πολλὰ,Knauer,
1,100,sub undis,21,11,περὶ δίνας,sub undis περὶ δίνας,Knauer,
1,100,sub undis,21,238,κατὰ ῥέεθρα,sub undis κατὰ ῥέεθρα,,Knauer,
1,100,sub undis,21,239,ἐν δίνῃσι,sub undis ἐν δίνῃσι,Knauer,
1,101,scuta  galeasque,12,22,βοάγρια καὶ τρυφάλειαι,scuta  galeasque βοάγρια καὶ τρυφάλειαι,Knauer,
1,101,corpora volvit,21,235,ὦσε  νεκροὺς,corpora volvit ὦσε  νεκροὺς,Knauer,
1,101,fortia corpora,3,23,μεγάλῳ .. σώματι,fortia corpora μεγάλῳ .. σώματι,Knauer,
1,102,procella  ferit,11,306,λαίλαπι τύπτων,procella  ferit λαίλαπι τύπτων,Knauer,
1,102,stridens Aquilone procella velum,15,626,ἀνέμοιο  ἀήτη ἱστίῳ ἐμβρέμεται,stridens Aquilone procella velum ἀνέμοιο  ἀήτη ἱστίῳ ἐμβρέμεται,Knauer,semantic range question: ἐμβρέμεται and stridens
1,102,iactanti stridens Aquilone procella velum  fluctusque,1,481,ἄνεμος  ἱστίον  κῦμα  ἴαχε,iactanti stridens Aquilone procella velum  fluctusque ἄνεμος  ἱστίον  κῦμα  ἴαχε,Knauer,Semantic Range question: ἴαχε = iactanti AND/OR stridens?  General question: What happens if a word is doing double duty?  ἄνεμος for Aquilone OR procella and ἴαχε for iactanti AND stridens.  Is it fine like it is?
1,115,excutitur pronusque  in caput,5,586,ἔκπεσε  κύμβαχος  ἐπὶ βρεχμόν,excutitur pronusque  in caput ἔκπεσε  κύμβαχος  ἐπὶ βρεχμόν,Knauer,Semantic Range Question: ἔκπεσε and excutitur
1,115,pronusque  volvitur in caput,6,42,ἐξεκυλίσθη πρηνὴς  ἐπὶ στόμα,pronusque  volvitur in caput ἐξεκυλίσθη πρηνὴς  ἐπὶ στόμα,Knauer,
1,115,excutitur pronusque  caput,12,385,κεφαλῆς  ἀρνευτῆρι  κάππεσ᾽,excutitur pronusque  caput κεφαλῆς  ἀρνευτῆρι  κάππεσ᾽,Knauer,Grouping question: κεφαλῆς separated by semicolon; Metaphor Question: ἀρνευτῆρι means tumbler/acrobat and is used metaphorically for one who is falling headlong, but is not specifically used in the Latin; Semantic Range Question: κάππεσ and excutitur
1,125,et imis stagna,13,21,δέ  βένθεσι λίμνης,et imis stagna δέ  βένθεσι λίμνης,Knauer,
1,126,alto  unda,13,15,ἁλὸς,alto  unda ἁλὸς,Knauer,
1,126,et  prospiciens,15,6,ἴδε δὲ,et  prospiciens ἴδε δὲ,Knauer,
1,130,nec latuere  Iunonis,1,536,οὐδέ  Ἥρη ἠγνοίησεν ,nec latuere  Iunonis οὐδέ  Ἥρη ἠγνοίησεν ,Knauer,Semantic Range Question: concealment and lack of perception
1,130,nec latuere,23,323,οὐδέ  λήθει,nec latuere οὐδέ  λήθει,Knauer,
1,131,ad  fatur,15,13,πρὸς  ἔειπεν,ad  fatur πρὸς  ἔειπεν,Knauer,
1,137,maturate  haec,11,140,ἀγγελίην ἐλθόντα,maturate  haec ἀγγελίην ἐλθόντα,Knauer,Semantic Range Question: generic coming versus hastening, and (speak) these things versus message
1,138,pelagi  mihi sorte,15,190,ἐγὼν ἔλαχον  ἅλα  παλλομένων,pelagi  mihi sorte ἐγὼν ἔλαχον  ἅλα  παλλομένων,Knauer,Semantic Range Question: lot, the noun, versus obtaining by lot and drawing/shaking lots the verbs
1,140,vestras  domos  et  regnet,1,179,οἴκαδ᾽  σῇς  καὶ  ἄνασσε,vestras  domos  et  regnet οἴκαδ᾽  σῇς  καὶ  ἄνασσε,Knauer,Semantic Range Question: homes and homeward
1,147,et  aperit  et  aequor  rotis  levibus perlabitur undas,13,29,δὲ θάλασσα διίστατο  δὲ πέτοντο ῥίμφα  ἄξων,et  aperit  et  aequor  rotis  levibus perlabitur undas δὲ θάλασσα διίστατο  δὲ πέτοντο ῥίμφα  ἄξων,Knauer,Semantic Range Question: perlabitur = glide over and petonto = fly; levibus = light/swift and hrimfa = lightly/swiftly > will it still catch adj to adv?  Double-duty question: aequor, undas, and θάλασσα.  Synechdoche question: rotis = wheel and ἄξων = axle.  
1,156,equos curruque volans,13,23,ἐλθὼν  ὄχεσφι  ἵππω,equos curruque volans ἐλθὼν  ὄχεσφι  ἵππω,Knauer,Semantic range: fly and come 
1,156,equos ,13,31,ἵπποι,equos  ἵπποι,Knauer,
1,159,est  secessu,6,152,ἔστι  μυχῷ,est  secessu ἔστι  μυχῷ,Knauer,
1,187,arcumque  gerebat,12,372,φέρε  τόξα,arcumque  gerebat φέρε  τόξα,Knauer,
1,193,fundat humi,16,469,ἔπεσ᾽  κονίῃσι ,fundat humi ἔπεσ᾽  κονίῃσι ,Knauer,Semantic Range: Throw/cast (to the ground) and Fall to the ground
1,202,revocate animos maestumque,6,112, μνήσασθε δὲ  ἀλκῆς,revocate animos maestumque  μνήσασθε δὲ  ἀλκῆς,Knauer,
1,206,regna  Troiae,20,307,βίη Τρώεσσιν,regna  Troiae βίη Τρώεσσιν,Knauer,Semantic Range: kingdoms/rule/power versus bodily strenght/force; Trojans versus Troy  Iliad has Αἰνείαο in the line, Aeenas is speaking in Aeneid.
1,207,durate et  servate,2,299,τλῆτε  καὶ μείνατ᾽,durate et  servate τλῆτε  καὶ μείνατ᾽,Knauer,
1,210,accingunt dapibusque,1,467,τετύκοντό τε δαῖτα  δαιτὸς,accingunt dapibusque τετύκοντό τε δαῖτα  δαιτὸς,Knauer,These are the more obvious references in these sections (truly, all should be taken together).  μίστυλλόν is from μιστύλλω, and therefore litterally means the cut up thing, whence piece of meat.  As such, it potentially should be taken with the Latin, in frustra secant.  I have not confirmed the origins/literal meaning of frustra.  If it can be affirmed as stemming from a verb of cutting or the like, the allusion may be stronger.  There are other references that potentially should be included:  Iliad 1.459 has ἔδειραν (flay) whereas Aeneid 211 has tergora deripiunt (rip off hides/skins); Iliad 1.462, 464, and 466, respectively, have καῖε, κάη (kindle/light on fire), and ὤπτησάν (roast), whereas Aeneid 213 has flammasque ministrat (manage/supply flames). 
1,211,et viscera,1,464,καὶ σπλάγχνα,et viscera καὶ σπλάγχνα,Knauer,
1,212,frustra  veribusque  figunt,1,465,μίστυλλόν  καὶ  ὀβελοῖσιν ἔπειραν,frustra  veribusque  figunt μίστυλλόν  καὶ  ὀβελοῖσιν ἔπειραν,Knauer,
1,215,veteris Bacchi,1,462,γέρων  οἶνον,veteris Bacchi γέρων  οἶνον,Knauer,
1,210,accingunt dapibusque,2,430,τετύκοντό τε δαῖτα  δαιτὸς,accingunt dapibusque τετύκοντό τε δαῖτα  δαιτὸς,Knauer,These are the more obivous references in these sections (truly, all should be taken together).  μίστυλλόν is from μιστύλλω, and therefore litterally means the cut up thing, whence piece of meat.  As such, it potentially should be taken with the Latin, in frustra secant.  I have not confirmed the origins/literal meaning of frustra.  If it can be affirmed as stemming from a verb of cutting or the like, the allusion may be stronger.   ἀμπείραντες apparently means to pierce on a spit. One should note the congruency between this set of passages and the previous set.  Only lines 2.425-426 and 1.462-463 differ from each other There are other references that potentially should be included:  Iliad 2.422 has ἔδειραν (flay) whereas Aeneid 211 has tergora deripiunt (rip off hides/skins); Iliad 2.427 and 2.429, respectively, have κάη (kindle/light on fire), and ὤπτησάν (roast), whereas Aeneid 213 has flammasque ministrat (manage/supply flames).
1,211,et viscera,2,427,καὶ σπλάγχνα,et viscera καὶ σπλάγχνα,Knauer,
1,211,et viscera  veribusque  figunt  flammasque,2,426,σπλάγχνα δ᾽  ἀμπείραντες  Ἡφαίστοιο,et viscera  veribusque  figunt  flammasque σπλάγχνα δ᾽  ἀμπείραντες  Ἡφαίστοιο,Knauer,
1,212,frustra  veribusque  figunt,2,428,μίστυλλόν  καὶ  ὀβελοῖσιν ἔπειραν,frustra  veribusque  figunt μίστυλλόν  καὶ  ὀβελοῖσιν ἔπειραν,Knauer,
1,210,accingunt dapibusque,7,319,τετύκοντό τε δαῖτα  δαιτὸς,accingunt dapibusque τετύκοντό τε δαῖτα  δαιτὸς,Knauer,All should be taken together.  There are other references that potentially should be included.  Iliad 7.316 has  δέρον (flay) whereas Aeneid 211 has tergora deripiunt (rip off hides/skins); Iliad 7.321 has νώτοισιν or chine > the cut of meat, specifically from  (and including?) the back bone, whereas the Aeneid has ferinae, which can be used substantively as the flesh of a wild animal > hence also a cut of meat, though not as seemingly specific as the Greek.   Iliad 7.318 has ὄπτησάν (roast), whereas Aeneid 1.213 has flammasque minstrant.  
1,212,frusta secant veribusque .. figunt,7,316,διέχευαν  μίστυλλόν τ᾽  πεῖράν τ᾽ ὀβελοῖσιν,frusta secant veribusque .. figunt διέχευαν  μίστυλλόν τ᾽  πεῖράν τ᾽ ὀβελοῖσιν,Knauer,
1,212,secant veribusque  figunt,9,210,μίστυλλε καὶ  ὀβελοῖσιν ἔπειρε,secant veribusque  figunt μίστυλλε καὶ  ὀβελοῖσιν ἔπειρε,Knauer,This line and the succeding entries of this book should be taken together.  Another possible reference, though loose is the Iliads (9.217) κανέοισιν (reed basket) and the Aeneids (1.213) aena (bronze/copper vessle > cauldron?)  The sole relationship would be that both are a type of vessel for food, but since one is made of reed, and the other of bronze, and since one would seem to be for cooking, and the other for serving, perhaps this is a stretch. 
1,212,secant veribusque trementia figunt;,24,623,μίστυλλόν τ᾽  πεῖράν τ᾽ ὀβελοῖσιν,secant veribusque trementia figunt; μίστυλλόν τ᾽  πεῖράν τ᾽ ὀβελοῖσιν,Knauer,These should be taken together.  Other references to potentially include: Iliad 24.622 has ἔδερόν (flay) whereas Aeneid 211 has tergora deripiunt (rip off hides/skins); Iliad 24.624 has ὤπτησάν (roast), whereas Aeneid 213 has flammasque ministrat (manage/supply flames). Another possible reference, though loose is the Iliads (24.626) κανέοισιν (reed basket) and the Aeneids (1.213) aena (bronze/copper vessle > cauldron?)  The sole relationship would be that both are a type of vessel for food, but since one is made of reed, and the other of bronze, and since one would seem to be for cooking, and the other for serving, perhaps this is a stretch. 
1,216,postquam exempta,1,469,ἐπεὶ  ἕντο,postquam exempta ἐπεὶ  ἕντο,Knauer,Tricky.  Certainly a parallel, but difficult to input in this paradigm.  The lines are as follows: Iliad 1. 469 ἐπεὶ πόσιος καὶ ἐδητύος ἐξ ἔρον ἕντο and Aeneid 1.216 Postquam exempta fames epulis mensaeque remotae.  I have only included the when words and the releasing words here, but fames certainly would and should represent ἐδητύος  ἔρον (desire of food).  
1,221,praecipue  gemit,24,510,κλαῖ᾽  προπάροιθε  κλαῖεν,praecipue  gemit κλαῖ᾽  προπάροιθε  κλαῖεν,Knauer,The sections suggested are Aeneid 1.217-222 and Iliad 24. 509-512.  praecipue and προπάροιθε, though an adverb and a preposition, respectively, would both to convey the idea of precedence, hence why they are included.  There are other parallels to be considered.  In the Iliad (24.509) the two are τὼ μνησαμένω, and thus are reflecting upon their lost ones.  In the Aeneid (1.217), they sermone requirunt, inquiring through speech (discussing), which would seem more specific than internal reflection.  In both cases, of course, the subjects are thinking about missing persons.  Both passages also address the persons being grieved over, though none of these names overlap specifically. 
1,223,summo despiciens  vertice  constitit,15,5,κορυφῇσι  στῆ  ἴδε,summo despiciens  vertice  constitit κορυφῇσι  στῆ  ἴδε,Knauer,This and the succeeding entry should be taken together.  Though an adjective and a noun, respectively, summus can be used substantively to mean summit, and, regardless, both convey the notion of the top or uppermost.  στῆ can mean stand still or halt, as with constitit.  Another reference to potentially include: 1.226 regnis (kingdoms) and Iliad 15  ἄνακτα (lord/master/king).  In both, he looks upon peoples, but Zeus (in the Iliad) looks upon the Trojans and Greeks specifically
1,224,terrasque iacentis,15,9,δ᾽  πεδίῳ  κείμενον,terrasque iacentis δ᾽  πεδίῳ  κείμενον,Knauer,Terra is a generic term for land, while πεδίῳ is, more specifically, a flat stretch of land (a plain).  iactentis can mean to be flat,  which adds to the connection with πεδίῳ, but its primary meaning is also lie,, hence its correspondence with κείμενον.  
1,223,et  summo despiciens  vertice  constitit,8,51,δ᾽ κορυφῇσι καθέζετο  εἰσορόων,et  summo despiciens  vertice  constitit δ᾽ κορυφῇσι καθέζετο  εἰσορόων,Knauer,Once again, he is looking down on peoples again, but the Iliad has him looking down on the Trojans and Achaeans, specifically.  Although καθέζετο  would denote sitting, and thus may be considered the opposite of constitit (from sto, standing), both can connote stillness (thus, sit still and stand still/halt) This connotation of stillness/inaction might relate these two words in these two passages.  Another reference that potentially should be included: Iliad 8.52 has νῆας, ships, whereas Aeneid 1.224 has velivolum, sail-flying/winged with sails, a common epithet for ships.    
1,224,despiciens  constitit,11,81,καθέζετο  εἰσορόων ,despiciens  constitit καθέζετο  εἰσορόων ,Knauer,Largely parallel with the previous entry (though missing the top word).  Like the previous entry, another reference that potentially should be included: Iliad 11.82 has νῆας, ships, whereas Aeneid 1.224 has velivolum, sail-flying/winged with sails, a common epithet for ships.     
1,226,defixit lumina,13,3,τρέπεν ὄσσε φαεινὼ,defixit lumina τρέπεν ὄσσε φαεινὼ,Knauer,This entry and the succeeding entires of this book should be taken together.  defixit can mean turn intentively in a direction, (the prefix does convey the idea of motion downwards at any rate).  ὄσσε φαεινὼ means radiant eyes, whereas the primary meaning of lumina is lights, thus lights of the eyes, thus eyes.  It can also (no doubt due to its primary meaning) mean gleam or brightness 
1,224,despiciens  terrasque  populos,13,4,καθορώμενος αἶαν  ἀνθρώπων,despiciens  terrasque  populos καθορώμενος αἶαν  ἀνθρώπων,Knauer,
1,226,defixit lumina,13,7,τρέπεν ὄσσε φαεινώ,defixit lumina τρέπεν ὄσσε φαεινώ,Knauer,Note the exactness with line 3.  
1,225,vertice caeli,8,3,ἀκροτάτῃ κορυφῇ  Οὐλύμποιο,vertice caeli ἀκροτάτῃ κορυφῇ  Οὐλύμποιο,Knauer,
1,225,vertice caeli,1,499,ἀκροτάτῃ κορυφῇ  Οὐλύμποιο,vertice caeli ἀκροτάτῃ κορυφῇ  Οὐλύμποιο,Knauer,
1,225,vertice caeli,5,754,ἀκροτάτῃ κορυφῇ  Οὐλύμποιο,vertice caeli ἀκροτάτῃ κορυφῇ  Οὐλύμποιο,Knauer,
1,225,vertice caeli,20,5,κρατὸς  Οὐλύμποιο ,vertice caeli κρατὸς  Οὐλύμποιο ,Knauer,κρατὸς > head/top/peak
1,228,et lacrimis oculos suffusa,17,695,δέ  ὄσσε δακρυόφι πλῆσθεν,et lacrimis oculos suffusa δέ  ὄσσε δακρυόφι πλῆσθεν,Knauer,
1,228,et lacrimis,21,506,δακρυόεσσα δὲ ,et lacrimis δακρυόεσσα δὲ ,Knauer,tears versus tearful.  Both have a goddess entreating Zeus (though different goddesses).
1,228,et lacrimis suffusa,6,405,δέ  δάκρυ χέουσα,et lacrimis suffusa δέ  δάκρυ χέουσα,Knauer,
1,234,volventibus annis,2,551,περιτελλομένων ἐνιαυτῶν,volventibus annis περιτελλομένων ἐνιαυτῶν,Knauer,
1,247,sedesque locavit,2,750,οἰκί᾽ ἔθεντο,sedesque locavit οἰκί᾽ ἔθεντο,Knauer,Also same position in line (end).  
1,252,longe  oris,15,740,ἑκὰς  αἴης,longe  oris ἑκὰς  αἴης,The Latin has Italis modifying oris, while the Greek has πατρίδος modifying αἴης.  Both convey the idea of being far from ones country, but the Latin is Latin-specific.  ,
1,254,subridens hominum sator atque deorum,5,426,μείδησεν δὲ πατὴρ ἀνδρῶν τε θεῶν τε,subridens hominum sator atque deorum μείδησεν δὲ πατὴρ ἀνδρῶν τε θεῶν τε,Knauer,
1,254,olli subridens  atque,8,38,τὴν δ᾽ ἐπιμειδήσας ,olli subridens  atque τὴν δ᾽ ἐπιμειδήσας ,Knauer,The Greek includes the name Zeus, who is obviously referred to (Jupiter) in the Latin. Iliad 22.182 is included as largely congruous to this entry, but the laughing verb is replaced by ἀπαμειβόμενος, responding,, thus I have not included it.  Likewise, Iliad 1.517 and 4.30, wherein the laughing verb has been replaced with ὀχθήσας, being angry.
1,254,subridens hominum sator atque deorum,15,47,μείδησεν δὲ πατὴρ ἀνδρῶν τε θεῶν τε,subridens hominum sator atque deorum μείδησεν δὲ πατὴρ ἀνδρῶν τε θεῶν τε,Knauer,
1,255,caelum tempestatesque,17,649,ἠέρα  καὶ,caelum tempestatesque ἠέρα  καὶ,Knauer,I have related the words for sky/air and the conjunctions and in these passages.  There are certainly other parallels, but perhaps none that can be included in this entry.  The Greek has ἠέρα μὲν σκέδασεν καὶ ἀπῶσεν ὀμίχλην, He scatter/dispersed the air (or mist) and drove away the mist/fog.  The Latin has caelum tempestatesque serenat, he clears up/calms the sky/heaven and the storms.  Of course, the result of the Greek and Latin verbs is the same, the foul weather is removed, but the Greek would seem to employ much more active, forceful language, whereas serenat does not.  As such, I did not feel that their semantic range was close enough to include them here, though, taken with their respective objects, they clearly represent the same idea.  One might also which to include ὀμίχλην and tempestatesque.  Once again, it did not seem that their semantic range fit the bill, so to speak, but as both make reference to negatively-perceived weather, perhaps they should be included.  
1,267,cui  cognomen,6,402,τόν  καλέεσκε,cui  cognomen τόν  καλέεσκε,Knauer,The full Latin clause is, cui nunc cognomen Iulo additur, to whom now the cognomen is added/joined.  I have included the pronouns and the name word in the entry.  Both passages refer to an individual who is called by two names.
1,269,volvendis mensibus,2,295,περιτροπέων ἐνιαυτὸς,volvendis mensibus περιτροπέων ἐνιαυτὸς,Knauer,
1,279,mare  terrasque,8,479,γαίης καὶ πόντοιο,mare  terrasque γαίης καὶ πόντοιο,Knauer,The Latin refers to Jupiter talking about Juno, whereas the Greek refers to Zeus talking to Hera.  Earth and sea are the only words I saw as parallel.  
1,295,Belli  saeva vinctus aenis  nodis,5,385,Ἄρης  κρατερός δῆσαν κρατερῷ ἐνὶ δεσμῷ,Belli  saeva vinctus aenis  nodis Ἄρης  κρατερός δῆσαν κρατερῷ ἐνὶ δεσμῷ,Knauer,This and the succeeding entry should be taken together.  Belli, in the Latin, is separated from the other words by a semicolon.  
1,295,vinctus aenis  nodis,5,387,χαλκέῳ  δέδετο,vinctus aenis  nodis χαλκέῳ  δέδετο,Knauer,Separated from previous entry by a colon.
1,293,et  artis claudentur  portae,14,167,πυκινὰς δὲ θύρας  ἐπῆρσε  κρυπτῇ,et  artis claudentur  portae πυκινὰς δὲ θύρας  ἐπῆρσε  κρυπτῇ,Knauer,artis would seem to be doing double-duty, so to speak.  Its primary meaning, (coming from the verb artio?) is fitted, and then comes into a series of meaning including close, compact, narrow, and can connote notions of firmness or strength due to this compaction.  ἐπῆρσε captures the fitted meaning of artis, while πυκινὰς has an extremely similar semantic range. compagibus joints and σταθμοῖσιν doorposts/pillars would also seem to be parallel in these passages, but their semantic fields (at least according to Lewis in Short) do not seem to overlap specifically enough. 
