uεόν,renovatur,induo
ἀναγκαστός,providentes,turpe
ἀναζάω,revixit,vivebam
ἀναζωπυρέω,admoneo,gratia
ἀναθεωρέω,ignotum,exitus2
ἀναιδιάν,surgo,tamen
ἀνακάμπτω,pax,revertendi
ἀνακαινίζω,rursus,prolabor
ἀνακεφαλαιόομαι,verbo,mandatus
ἀνακράζω,exclamavit,immundus
ἀνακυλίνδω,revolutum,valde
ἀναλημφθείς,quemadmodum,sic
ἀναλογιάν,gratia,differo
ἀναμένω,exspecto,eripio
ἀνανήφω,captus,resipiscant
ἀναξιώς,ita,manducaverit
ἀναπαυέσθε,dormio,peccatum
ἀναπέμπω,remitto,Herodes
ἀναπηδάω,proiectum,exiliens
ἀναπολόγητος,iudico,inexcusabilis
ἀνασκευάζω,mandavimus,turbaverunt
ἀναστατόω,concito,invenissent
ἀναστρέφω,carni,conversari
ἀνατέλλω,orior,sol
ἀνατρέπω,subvertunt,oportet
ἀναφέρω,offero,peccatum
ἀναψύχω,Onesifori,misericordia
ἀνδροφόνος,subditus,lex
ἀνδρεύς,Andreas,Philippus
ἀνέλεος,misericordia,iudicium
ἀνεκλάλητος,exultatis,laetitia
ἀνέχω,sustineo,patior
ἀνεξίκακος,mansuetum,docibilis
ἀνελήμφθη,assumo,usque
ἀνεπαίσχυντος,probabilis,inconfusibilis
ἀνετάζω,torqueo,tribunus
ἀνεφίημι,discumbo,centeni
ἀνεῴξεν,quando,sabbatum
ἀνθρακιά,sto,pruna
ἀνθρώπρυς,magna,vehementer
ἀνθρωποκτόνος,homicida,odi
ἀνοήτοι,o,odientes
ἀνίστημι,surgo,resurgo
ἀνοιάς,insipientia,invicem
ἀνομιά,iniquitas,peccatus
ἀνομιάν,iniquitas,iustitia
ἀνοσιόις,subditus,lex
ἀντάλλαγμα,commutatio,animo
ἀνταπόδομα,retributio,laqueus
ἀνήρ,autem,vir
ἀνταποκρίνομαι,numquid,sic
ἀντίλυτρον,redemptio,testimonium
ἀντίδικος,trado,adversario
ἀντίπερας,enavigaverunt,Galilaeam
ἀντιβάλλω,confertus,invicem
ἀντικαλέω,retributio,cena
ἀντιλήμψεις,deinde,curatio
ἀντιλογιάς,controversiae,iuro
ἀντιμισθιάν,masculus,remuneratio
ἀντιοχεύς,fidus,eligo
ἀντιπίπτω,resisto,semper
ἀντλέω,haurio,aqua
ἀνυπότακτος,subicio,vaniloqui
ἀνωφελής,devita,reprobatio
ἀξιόυς,dignus,blasphemo
ἀπάγχω,proiectum,laqueus
ἀπάρνησις,gallus2,ter
ἀπαίδευτος,devita,lito
ἀπαλγέω,avaritia,impudicitia
ἀπαλλοτριόω,alieno,sinis
ἀπαρασκεύαστος,substo,venerint
ἀπαύγασμα,peccatum,verbo
ἀπαρχή,primitiae,sanctum
ἀπέκδυσις,circumcisio,exspoliatio
ἀπέχω,abstineo,recipio
ἀπαγγέλλω,nuntiaverunt,adnuntio
ἀπειθιᾴ,incredulitas,misericordia
ἀπειλέω2,comminor,ullus
ἀπειθέω,incredulus,misericordia
ἀπεκατεστάθη,extendo,restituo
ἀπεκυήσεν,voluntarie,gigno
ἀπελεύθερος,vocatus,servus
ἀπελυόντο,benus,Esaiam
ἀπεσταλμένοσ̓,abeo,interpretor
ἀπιστιά,evacuabit,incredulitas
ἀπιστιάς,incredulitas,videte
ἀπόδεκτον,acceptum,coram
ἀπόθεσις,depositio,baptisma
ἀπόκρισις,responsus,responsum
ἀπόλλυμι,pereo,perdo
ἀπόχρησις,doctrina,praecepto
ἀποβλέπω,remuneratio,Aegyptiorum
ἀπογράφω,profiteor,praegno
ἀποδέχομαι,suscipio,optume
ἀποδεκατόω,oportet,iudicium
ἀποδοχή,acceptio,sermo
ἀποθήκη,congrego,horreum
ἀποδίδωμι,reddo,malus2
ἀποκαθιστάνω,convenerant,restituo
ἀποκαραδοκιάν,sive,nullus
ἀποκεφαλίζω,Iohannem,decollavit
ἀποθνῄσκω,sive,peccatum
ἀποκτέννυντες,occido,rursus
ἀποκυλίνδω,lapido,monumentum
ἀπολείπω,relinquo,sabbatismus
ἀπολλών,Apollo,Zenan
ἀπολογέομαι,reddo,ratio
ἀπολογιάν,defensio,incontaminatus
ἀπολύτρωσις,redemptio,remissio
ἀποκρίνω,respondeo,dico2
ἀπολυέιν,dimitto,voluissent
ἀπολυών,dimitto,moechor
ἀπονίζω,proficio,Pilatus
ἀποπλέω,venimus,indo
ἀποριᾴ,fluctus,prae
ἀπορφανίζομαι,vestram,abundo
ἀποστάσιον,repudium,libellus
ἀποστασιόυ,repudium,libellus
ἀποστερέω,iniuria,quare
ἀποστρέφω,gladius,veritate
ἀποτάσσω,valefaciens,renuntio
ἀποτίνω,scribo,reddo
ἀποτομιά,bonitas,severitatem
ἀπουσιᾴ,ita,carus
ἀποφθέγγομαι,verba,optume
ἀποχωρέω,discedo,vix
ἀπρόσιτος,immortalitas,nullus
ἀπφίᾳ,Archippo,Appiae
ἀπωλειάς,perditio,nisus
ἀραρίσκω,masculus,initium
ἀργός2,otiosus,ratio
ἀργυριόυ,concupivi,argentum
ἀργυροκόπος,argentarius,quaestus
ἀρεοπαγίτης,adherentes,mulier
ἀρεστός,azymus,apprehendo
ἀρεύς,vestrum,iterum
ἀρίσταρχος,Aristarchus,Marcus
ἀριστάω,prandeo,audeo
ἀρκέω,contineo,sufficio
ἀρνεί,Aminadab,Aram
ἀρνιόυ,agnus,duodecim
ἀροτριάω,aro,spes
ἀρτιγέννητος,lac,rationalis
ἀρτάω,panis,panus
ἀρχάγγελος,Dominus,archangelus
ἀρχαιόυ,mundo,octavum
ἀρχαιών,surgo,allium
ἀρχηγός,auctor,dexter
ἀρχιποίμην,immarcescibilis,percipio
ἀρχιτελώνης,dives,Zaccheus
ἀσάφ,gigno,Roboam
ἀσεβέω,impius,iudicium
ἀσελγειᾴ,impudicitia,immunditia
ἀσθένεια,infirmitas,iniquitas
ἀσθενειᾴ,infirmitas,surgo
ἀρχιερεύς,sacerdos,princeps
ἀσιτιάς,lucrum,iniuria
ἀσθενής,infirmus,infirmo
ἀσίης,Asia,incipio
ἀσσαριόυ,as,passer
ἀστατέω,exsurio,colaphus
ἀστράπτω,sub,fulgeo
ἀσπάζομαι,saluto,osculum
ἀσφάλεια,verborum,veritatem
ἀσύνετος,insipiens,intellego
ἀστήρ,stella,septem
ἀσχημονέω,ambitiosus,irrito
ἀσωτιάς,luxuria,peregrinor
ἀσφαλής,certus,diligens
ἀτενίσασα,ancilla,intueor
ἀτιμιά,come,ignominia
ἀτιμιάς,infamia,veraces
ἀφανισμός,veteravit,antiquo
ἀφαιρέω,aufero,servum
ἀφειδιᾴ,honorus,humilito
ἀφεώνταί,remitto,peccatum
ἀφθαρσιάν,incorruptio,incorruptela
ἀφιέται,relinquo,duo
ἀφιήσιν,dimitto,oves
ἀφιλάργυρος,litigiosus,vinolentum
ἀφόρισις,segrego,invicem
ἀφορίζω,separo,segrego
ἀφροσύνη,insipientia,audeo
ἀχάριστος,ingratus,inoboedio
ἀχείμ,gigno,Saddoc
ἀχλύς,caecus,quaero
ἀχρί,confirmo,Domino
ἅβελ,sanguis,Abel
ἅλας,sal,evanuerit
ἅλων,congrego,manus
ἅννα,Anna,desertum
ἅπαξ,semel,peccatum
ἀφίημι,dimitto,relinquo
ἅρ,congregavit,Hermagedon
ἅρπασις,aeternus,pereo
ἁγιᾴ,saecularia,Christo
ἁγιάν,sancio,civitatem
ἁγιασμός,sanctificatio,vestra
ἁγιόυ,Spiritu,Sancto
ἁγνίζω,purifico,sanctifico
ἁγνός,quicumque,castus
ἁδρίᾳ,nox,posteaquam
ἁγιών,sanctum,sanguis
ἁλής,piscator,marum
ἁλιευέιν,venimus,exeo
ἁλφαίου,Alphei,Iacobus
ἁμαρτιᾴ,peccatum,vivit
ἁμαρτάνω,pecco,peccatus
ἁμαρτιάν,peccatus,peccatum
ἁμαρτωλή,peccator,manduco
ἁπαλός,parabola,disco
ἁρέτα,Damascenorum,Aretae
ἁρμός,cogitatio,quisque
ἁρπαγή,vinctis,conpatior
αἔρα,aer,sic
αἐτοί,ubicumque,illic
αἤρ,fumus,puteus
αἴνιγμα,cognosco,facies
αἴτιος,obtempero,causa
αἶνος,vidit,laus
αἰγύπτιος,iniuria,interficio
αἰθίοψ,potens,abeo
αἰνεά,surgo,Aeneas
αἰνών,baptizo,illic2
αἰσχρός,turpe,mulier
αἰσχρολογιάν,depono,malitia
αἰτέω,peto,petitum
αἰτίωμα,obicio,probo
αἰτιάς,causa,inscribo
αἰφνίδιος,pax,superveniet
αἰχμαλωτεύω,captivam,dono
αἵρεσις,seco,haeresis
αἱματάω,voluntate,nascor
αἱρέω,eligo,iucunditas
αιο͂ν,contineo,lapido
αιὤνιον,aeternus,vitam
αιὦνα,aeternus,mano
αβγ,ego,dico2
αιὦνός,inimicus,seminavit
αιὠνίαν,aeternus,sanguis
αιὠνίους,deficio,mamona
αναθεμα,nemo,Spiritu
αὄρατον,veritus,invisibilem
απ,verbo,temptaverunt
αποκαλυψις,palam,oportet
αύ̓τοῦ,videbunt,facies
αὐγάζω,satis,gusto
αὐθεντέω,silentium,dominor
αὔριον,crastinus,cras
αὐλήτης,amplus,vox
αὐλός,sive,sinis
αὐτα,semino,comederunt
αὐταρκειάς,sufficientia,quaestus
αὐτόπτης,viderunt,trado
αὐτόχειρ,armamenta,navis
αὐτού,subicio,dimitto
αυτόν,peccatum,commemoratio
βάλλις,vinum,uter
βάπτισμα,baptismum,baptizo
βάρος,pondus,novissimi
βάτραχος,os,tres
βαάλ,curvaverunt,Baal
βαβψλών,magna,tres
βαθμός,benus,acquiro
βαίνω,protinus,bases
βαλαρός,Balaam,viam
βαπτίζω,baptizo,aqua
βαράκ,deficio,Samuhel
βαρέω,gravati,onus
βαρεώς,auris,oculus
βαριησοῦς,perambulo,insula
βαρσαββᾶν,cognomino,viros
βαρύτιμος,accedo,mulier
βασανιστής,tortor,debitum
βασιλεία,potens,abeo
βασιλειόις,induo,exeo
βασιλειάν,intro2,amen
βασιλευέι,secedo,timeo
βασιλευς,rex,Iudaeorum
βασιλεων,rex,dominor
βασκαίνω,proscriptus,insensatus
βδέλυγμα,abominatio,intellego
βδελυκτός,incredibilis,abominor
βέλος,extinguere,tela
βεβαιάν,usque,retineo
βεβηλόω,devita,profanus
βελιάρ,conventio,Belial
βενιαμίν,tribus,Beniamin
βεροία,dimitto,confestim
βεώρ,viam,Bosor
βηθανιά,Bethania,quindecim
βηθανιάς,Bethania,langueo
βηθλεἐμ,David,Galilaea
βηθφαγή,appropinquo,duo
βιάζω,vim,usque
βιαιάς,repens2,sonus2
βιβλιά,liber,scribo
βιβλιόυ,liber,verba
βιβρώσκω,cibus,opero
βιός,substantia,abundo
βιώσίν,iuventute,noverunt
βλάστος,at,pax
βλαβερός,temptationem,incido2
βλασφημιάν,blasphemia,blasphemo
βλασφημέω,blasphemo,nome
βόρβορος,sus,lauo
βοάω,clamo,desertum
βοήθεια,misericordia,consequor
βοηθειάις,incido2,fero
βολίζω,invenerunt,patior
βούλημα,numquid,idolum
βουλεύς,consilior,interimo
βουλευτής,decurio,vir
βραβειο͂ν,curro,bravium
βραδύς,tardus,velox
βραχεών,suffero,perpaucus
βραχιών,auditus,propheta
βλέπω,videte,videntes
βρέχω,pluo,pedes
βρύκω,disseco,strideo
βροντή,vocem,septem
βρώσιμος,miror,aliquis
βύσσινος,byssinus,cooperio
βυθός,ter,naufragium
βωμός,ignotum,ignoro
γάζα,surgo,Hierusalem
γαβριήλ,Gabrihel,evangelizare
γαζοφυλακιόυ,iacto,gazofilacium
γαιο͂ς,saluto,Gaius
γαλατιάν,Demas,Thessalonicam
γαλήνη,tranquillitas,cessavit
γαλιλαιάν,Galilaeam,abeo
γαλιλαιόυς,patior,puto
γαλιλαιο͂ς,post,Galilaeus
γαλλιώνι,Sosthenen,Gallioni
γαμέω,nubo,uxor
γαστήρ,uterus,praegnatus
γέλως,lugeo,convertatur
γένημα,bibo,vitis
γέρων,nascor,potis
γεθσημανεί,oro,Gethsemani
γεμίζω,impleo,impleverunt
γενεαλογιάις,fabulus,praesto2
γενετή,nativitate,caecus
γεννητός,Iohanne,mulier
γεύω,gusto,mors
γεωργός,agricola,fructus2
γῆρος,concipio,vocatur
γης,mysterium,mater
γάρ,enim,non
γλαυκῶπις,mustus,irrideo
γλωσσόκομος,loculus,egenus
γνησιῴ,pax,Tito
γνοῖ,vehementer,darius
γνῶσις,scientia,caritas
γόμορρα,similis,Gomorra
γογγύζω,murmurabant,murmuraveritis
γοήτες,seductor,erro
γομόρρας,eversione,Sodomorum
γονεών,afficio,parens2
γράμμα,littera,Spiritus
γραμματεύς,scriba,Pharisaei
γραπτός,invicem,cogitatio
γραφή,scriptura,impleo
γυμνάζω,exercito,utile
γυμνιτευόμεν,exsurio,colaphus
γυμνόω,inveniamur,nudus
γυναικόω,mulier,muliero
γωνιᾴ,horus,arbitror
δάκνω,invicem,mordeo
δάμαλις,taurus,vitulae
δαίμων,messis,rogo
δαιμονίζομαι,daemonium,malus2
δαιμονιώδης,diabolicus,terrenus
δακρυών,lacrima,temptationibus
δαλμανουθά,Dalmanutha,statim
δαμασκηνόν,Damascenorum,Aretae
δανιήλ,dicte,intellego
δαπανάω,insumo,petitum
δέκατος,terraemotus,relinquo
δέρμα,angustio,melota
δέσμη,messis,colligo
δέω,alligo,ligo
δεδικαιώμαι,conscius,iustificatus
δεήσίς,deprecatio,Iohannem
δείκνυμι,ostendo,recipio
δεῖπνος,cena,primus
δεικνυέις,Iudaei,fax
δειλιάω,vado,gaudeo
δεινόω,insisto,peritus
δεισιδαιμονιάς,quaestiono,affirmo
δεκαπέντε,quindecim,invenerunt
δεκατόω,decima,Abraham
δενδρόω,arbor,ignis
δεξιάζω,consido,capitulum
δεόμαι,audeo,obsecro
δεόντα,otiosus,disco
δερμάτινος,camelus,lumbus
δεσμευών,persequor,muliero
δεσμιών,tamquam,vincti
δεσμώτης,enato,consilium
δεσμωτηριῴ,duo,Iohannes
δεῦρο,venite,veni
δή,verbum,apprehendo
δηλόω,significo,adhuc
δημηγορέω,contionor,regium
δημοσιᾴ,publicus,revincebat
δηναριών,denarius,trecenti
δίδυμος,Didymus,Thomas
δίκη,aeternus,poena
δίς,bis,gallus2
δίψυχος,viis,animus
διάγνωσις,appello2,servari
διάδοχος,Felix,vinctum
διάλεκτος,lingua,silentium
διάστασις,affirmo,vere
διάφορος,quantus,hereditavit
διαβεβαιόω,volentes,praesum
διαγγελῇ,scriptura,virtutem
διαγιγνώσκω,certus,tribunus
διαδέχομαι,suscipio,expello
διαζώννυμι,praecingo,linteum
διαιρέω,substantia,prout
διακατελέγχομαι,revincebat,vehementer
διακονία,divisiones,ministratio
διακονιάν,ministerium,Domino
διακοσιόυς,ducenti,paro
διακρίνω,fidus,iudico
διαλέγομαι,disputo,synagoga
διαλογίζομαι,cogito,cor
διαμάχομαι,surgo,malus2
διαμερίζω,sors,vestimenta
διανευών,innuo,permaneo
διανοιᾴ,cor,totus2
διανυκτερευών,oratio,oro
διαπλέω,Lyciae,pelagus
διαπορεύω,praetereo,videam
διαρπάζω,fors,diripio
διασαφέω,parabola,narraverunt
διασπάω,comminuo,dissensio
διαστέλλω,praecipio,praedico
διαστρέφω,perversa,o
διαταγή,dispositio,lego
διατήκω,exsurio,conveniatis
διατρίβω,demoror,ibi
διαυγής,singulus,duodecim
διαφημίζω,at,diffamaverunt
διαφυλάσσω,conservent,mando
διαχωρίζω,praecepto,tres
διδάσκω,doceo,templum
διδασκαλιά,blasphemo,honorus
διδασκαλιάν,doctrina,scriptum
διδοάσιν,consilium,trado
διεγείρω,commonitio,cessavit
διεπορευόντο,pertranseo,apostolus
διερμηνευῄ,lingua,interpretor
διερωτάω,inquiro,quisnam
διετιάς,Felix,vinctum
διηνεκής,sinis,consummavit
διΐστημι,invenerunt,patior
διισχυρίζομαι,affirmo,vere
δικαιά,iustus,sanctum
δικαιόις,paenitentia,peccator
δικαιόω,iustifico,iustificatus
δικαιῴ,iustus,subditus
δικαιώς,iustus,maledico
διό,ideo,gratia
διόρθωσις,correctio,solummodo
διοδεύω,perambulo,Apolloniam
διορύσσω,fur,ubius
διπλόω,reddo,misceo
διυλίζω,culix,gluttientes
διχοστασιάς,dissensio,disco
διψᾷ,sitio,exsurio
διώκω,persequor,sector
δόκιμος,probo,probation
δόμα,malus2,peto
δέ,autem,dico2
δογματίζω,Christo,adhuc
δοκίμιος,fides,vestrae
δοκιμή,experimentum,probatio
δολόω,conscientia,commendo
δορκάς,Dorcas,exsurgo
δουλαγωγός,castigo,praedicaverim
δουλεύω,cognosco,quomodo
δουλευέτε,servite,libertas
δουλευώ,numquam,servio
δουλων,iustus,iudicium
δράσσομαι,stultitia,apud
δρέπανον́,vineam,ira
δύσις,confirmo,Domino
δυνάστης,potens,rex
δυνατός,potens,apud
δύναμαι,non,possum
δυσεντεριῴ,inpono,oro
δυσνοήτά,intellego,scriptura
δῶμα,tectum,descendo
δυώδεκα,duodecim,milium
δωδέκατος,undecimus,sextus
δωρέω,donavit,divinae
ἔβερ,Ragau,Phalec
ἔγκλημα,accuso,crimen
ἔκαστος,profiteor,civitatem
ἔκδικος,malus2,minister
ἔκπαλαι,aqua,volentes
ἔκφευξις,existimo,ago
ἔλεγχος,substo,spero
ἔμπορος,fleo,mercator
ἔμφυτος,mansuetudo,salvare
ἔνδειγμα,exemplum,patior
ἔνδοξος,gloriosus,stultus
ἔνειμι,verumtamen,mundo
ἔννοια,cogitatio,patior
ἔθνος,gens,autem
ἔνταλμα,doctrina,vanum
ἔντιμος,lapido,electus
ἔξεστι,licet2,an
ἔπαυλις,episcopatus,Psalmorum
ἔξω,foro,foris
ἔπιον,bibo,spiritalis
ἔργνυμι,fides,iustifico
ἔρις,contentio,inter
ἔσθησις,vestibus,duo
ἔσχατος,novissimi,primus
ἔτι,adhuc,amplus
ἔφεσος,Ephesi,Ephesum
ἔχιδνα,viperarum,fugio
ἔχωθεν,venissemus,Macedoniam
ἐβοήσεν,derelinquo,nona
ἐβραίων,Hebraeis,Hebraeus
ἐβραῖοί,Hebraei,Israhelitae
ἐγγίζω,appropinquo,adpropinquavit
ἐγγύς,prope,iuxta
ἐγκαινίζω,dedico,initiavit
ἐγκαταλείπω,derelinquo,deicio
ἐγκεντρίζω,insero,natura
ἐγκράτεια,abstineo,modestia
ἐγκρατευέται,contendo,agon
ἐγκρίνω,comparo,audeo
ἐγνώκειτέ,cognovissetis,cognosco
ἐδικαιώσαν,iustificaverunt,baptizo
ἐδιώκον,persequor,blasphemo
ἐδιώξεν,persequor,muliero
ἐζεκίας,gigno,Ioatham
ἐθεμελιώσας,principium,Domine
ἐθνάρχης,Damascenorum,Aretae
ἐκάμμυσαν,auris,oculus
ἐκβαίνω,revertendi,exeo
ἐκδέχομαι,exspecto,civitatem
ἐκδίδωμι,malus2,interimo
ἐκδικέω,vidua,sanguis
ἐκδύω,exuo,clamydem
ἐκεῖθεν,indo,sequor
ἐκεφαλιώσαν,vulneraverunt,afficio
ἐκθαμβέω,cooperio,iuvenem
ἐκκαθάρῃ,Domino,vas
ἐκκλάω,frango,insero
ἐκκλησιά,ecclesia,lingua
ἐκκλησιάις,ecclesia,auris
ἐκκλίνω,declino,declinaverunt
ἐκκομίζω,civitatis,appropinquo
ἐκλανθάνω,vocati,malus2
ἐκλεζαμένους,viros,Iudam
ἐκλεκτόω,eligo,electa
ἐκλύω,deficio,dimitto
ἐκμυκτηρίζω,derideo,avari
ἐκνίζω,insula,igitur
ἐκπέμπω,navigaverunt,Seleuciam
ἐκπηδάω,vanis,converti
ἐκπλήρωσις,oblatio,purifico
ἐκπνέω,exspiravit,clamo
ἐκπορευέται,procedo,os
ἐκπορνεύω,exemplum,abeo
ἐκριζωθήσεται,plantatio,at
ἐκταράσσω,magistratus,conturbo
ἐκτενειᾴ,devenire,spero
ἐκτινάσσω,excutio,pes
ἐκτρέφω,provocare,correptio
ἐκφοβέω,existimo,epistula
ἐκχυννόμενον,sanguis,testamentum
ἐκχέω,uter,effundo
ἐκωλυόμεν,Iohannes,praecepto
ἐλαιᾴ,natura,insero
ἐλαιός,mons,Oliveti
ἐλαιών,reversi,Oliveti
ἐλαττονέω,minoravit,modicum
ἐλαφρός,leve,suave
ἐλεγμός,inspiro,arguo
ἐλεεινός,miserabilis,spero
ἐλεήσον,miseror,Fili
ἐλεός,misereo,exhortor
ἐλεύκαναν,dominus,veniunt
ἐλευθεριάν,libertas,corruptionis
ἐλεφάντινος,lapis,pretiosus
ἐλιούδ,gigno,Eleazar
ἐλλογάω,inputo,peccatus
ἐλυέτο,figo,incido2
ἐλπίς,spes,gloria
ἐμβαίνω,ascendo,navem
ἐμαυτοῦ,testimonium,veni
ἐμβλέπω,apud,respicio
ἐμμαίνομαι,blasphemo,conpello
ἐμμένω,permaneo,scriptum
ἐμπαίζω,illudo,flagello
ἐμπαιγμονή,illusor,proprio
ἐμπίπτω,incido2,horreo
ἐμπορεύομαι,avaritia,lucrum
ἐμπρήθω,succendo,perdo
ἐμφανής,inventus,Esaias
ἐμωράνθησαν,stultus,sapio
ἐναγκαλίζομαι,conplexans,benedico
ἐναντιάς,adverso,irreprehensibilis
ἐναντιόυς,subnavigavimus,contrarium
ἐνδέχομαι,extra,verumtamen
ἐνδείκνυμι,ostendo,litigiosus
ἐνδοξάζομαι,clarifico,gratia
ἐνδύω,induo,immortalitas
ἐνέδρα,insidior,Pauli
ἐνέχω,Herodias,servitutis
ἐνείλλω,sindon,monumentum
ἐνεργέω,opero,circumcisio
ἐνευλογέομαι,benedico,scriptura
ἐνθυμέομαι,cogitatio,cogito
ἐγώ,ego,meus
ἐνκαθέτους,capero,simulo
ἐνκατελείφθη,resurrectio,corruptionem
ἐνιαυτός,annus,pontifex
ἐνὁρκίζω,epistula,sanctum
ἐννεά,novem,nonaginta
ἐνπνεών,inspiro,Saulus
ἐντέλλω,praecipio,mandavit
ἐντός,illic2,intra
ἐντρέφω,enutrio,adsequor
ἐντυγχάνω,interpello,desidero
ἐνυβρίζω,contumelia,gratiae
ἐξάλειψις,ultra,oculus
ἐξαγγέλλω,confirmo,Domino
ἐξαίφνης,appropinquo,circumfulgeo
ἐξακολουθέω,sequor,viam
ἐξανάστασις,resurrectio,modo
ἐξαπατάω,seduco,Christo
ἐξαράομαι,maledixisti,ficus
ἐνώπιος,coram,ante
ἐξαστράπτω,species,vestitus
ἐξέραμα,sus,lauo
ἐξέχω,effundo,fiala
ἐξείλλω,eripio,Romanus
ἐξεπέτασα,expando,contradico
ἐξεραυνάω,prophetaverunt,gratia
ἐξεφίημι,surgo,Petri
