τριάριοι,triarii
συμμιμέομαι,pseudourbanus
ἐπίμαχος,auxiliator
διακάθαρσις,smecticus
μαγγανεύω,usio
διαλφιτόω,farinarius
ὑπερθαύμαστος,plerus
θυρσοφόρος,bacifer
δασμός,tributarius
κυέω,praegno
ἀποφράσσω,offulcio
ψήφων,ratiocinator
γραμμάτιον,distractus
τετράκυκλος,petoritum,carruca
προσικνέομαι,reporrigo
δρύοψ,parra
ἄφυλλος,frondatio
ἐκσαλάσσω,perstimulo
βλοσυρόφρων,micropsychus
ἀβρότονον,absinthium
μνημονευτέον,gleucinus
εὔοικος,protagion
αὐτός,ipse
ἀπανάστασις,commigratio
ὁ,is
τρωί̈αθεν,ros
στιγμός,punctiuncula,punctio
τύφλωσις,caecitas
κάτω,infra
προστιλάω,muscerda
κάλαμος,calamus
μειλίχη,sinistrorsus
ἄρχω,ordior
δέρρις,membrana
αὐτουργικός,idiographus
ἐνδιαπρέπω,antesto
ῥαδινός,praetener
ἀγγελιαφόρος,sarcocolla
συνθοινάτωρ,compotio
διαπορθμεύω,transporto
πῶρος,petrinus,tecolithos
πεντηκονταετής,quinquagenarius,quinquagiens
ἐπίπονος,laboriosus
ἐξιδιάζομαι,pigneror
κερόεις,corniger,bouarius
κατατεφρόω,cinerosus,superintego
ἰαμβίζω,iambeus
ἐργοπόνος,luparius
τέος,ens
εὐσύνοπτος,perspicabilis
ἀνάθεσις,dilatio
ἀπορούω,resilio
ἄσκαρος,calceamen
εὔθετος,putealis
σκύλαξ,catulus
κνῆστις,spinula
κακοσιτία,embaenetica
ὁμοιοειδής,cyparissias,helioscopion
ἀκή,spiculo
στόνυξ,cuspidatim
εἰσίημι,amitto
ἑπτακαιδεκάπους,septendecim
ἡμιτάλαντον,sesquiiugerum
δρᾶσις,uictimo
δημητριάς,helepolis
περιτρώγω,arrodo,praerodo
περδικοθήρας,conchita
παραφεύγω,uls
εὕρεσις,repertus
πόσθη,praeputio
ῥαβδονομέω,sculna
διχόρροπος,dubie
ἄζηλος,abascantus
ἀπηρτισμένως,exquisitim
οἶδμα,tumentia
ἀποξύνω,cuspido
συμμοναρχέω,subuoluo
κνηκός,giluus
προεκπηδάω,praesulto,subsilio
κλοῦστρον,placenta,gratilla
ἔνδροσος,rorulentus,roridus
συνελίσσω,subuoluo
κατασήπω,putesco
φαρμακίς,ueteratrix
τάχα,forsit
διφαλαγγία,laciniatim
σκῆψις,causatio,excuso
ὑποτροπάδην,tropaeus,reuersio
παρρησία,libertas
πολυτεκνία,illiberis
χρύσωμα,aurosus,aurarius
ἐνόρκιος,deiurium,iuramentum
ἀχορήγητος,indonatus
θησαυροποιός,repositio
στεναγμός,gemebundus
προχάζω,praeuolo,praecelero
γογγυλάτης,cestrosphendone
ἐπίπασμα,diapasma
νεοδαμώδης,plebicola
κατευναστής,cacula,cacus
προχειρίζω,discepto
ὁδοποιός,deuortium
ἐξαναζέω,inferuefacio,referueo
φρικιάω,cohorresco
φυγαδικός,exsulo
ἔρις,rixa
κακοείμων,semiamictus
ἐνυγροθηρευτής,psychroluta
φιλοπότης,amasiunculus,amasius
ἐγχρίμπτω,incurso
τεμενίτης,pollinaris
φιλέραστος,amorabundus
παραθερμαίνω,iurgiosus
παραβιβάζω,emigro
μάγευμα,incanto
δυωδεκάβοιος,buthysia
χλανίδιον,pallula
ἀλγίων,peioro
ἐλάττωσις,diametrum
ἀεσίφρων,perdelirus
ἀστραβηλάτης,quartarius
ἀρετόομαι,peregregius
ἐπίκειμαι,incubo
λιμαίνω,crudito
ἀσελγής,lasciuus
προβόλιον,suculus
εὐρυόδεια,multiuius
ἀχρηστέω,reiculus
αἰόλλω,conuario
σπλεκόω,consuetio
ἀνεξεύρετος,irrepertus
εἰλυφάζω,subuoluo,peruoluo
θειάζω,inspiratio
ὑπολύριος,harundinaceus
ἀρή,pernicies
δαμασίμβροτος,domitus
ὑφαρπάζω,rapso
προσσωρεύω,circumaggero
ἀνέγκλιτος,impromptus
παλίνδρομος,reuecto
τορνευτολυρασπιδοπηγός,factitator
φάληρον,oi
ἀποβολεύς,desponsor
ἀλητήρ,saltatus,praesulto
ἐγκαταλαμβάνω,subsequor
βοτρυόπαις,sticula
κόγχος,conchis
ἀμόργη,expretus
τειχομαχέω,oppugnatorius
φυλλόκομος,laburnum,praecrassus
ἐξαναρπάζω,rapso
ἀναφοβέω,perpauefacio
ὄροφος,canna
ταφήϊος,insepultus
φοινικοστερόπας,erythros
προκαθέζομαι,formicula
προσέλκω,supertraho
ἀντοικοδομέω,immunio,instabilio
ἐκμισθόω,locito,eloco
πρίστις,serrula
πήλιον,choreus
νανώδης,pumilus
κλονέω,tumultuosus
φλέβιον,interuenium
ῥῆγμα,fractura
κελαινόφρων,nocticolor,pulleiaceus
δεκαέτηρος,decennium,bilustris
ξυήλη,reduncus
χείρων,peioro
στεφανόω,corona
πολύλογος,linguax,multiloquus
φλογώδης,flammeus
τεσσαρακοσταῖος,quadragesimus
προαίσθησις,praediuinatio,praediuino
δάφνινος,heluus
κόριον,puellula,infantula
σαπφώ,hemina
εὐθυωρία,directe
δημοκοπία,plebecula
κυκεών,concrementum
ἀβεβαιότης,instabilitas
ἐκλαλέω,effutio
ἆσσον,interior
ἀχανής,hiantia
ὑποφέρω,regero
συνδημαγωγέω,delenificus
ἐρχατάομαι,oppilo
κατόμνυμι,deiero,iuramentum
νυκτοπορία,euphrone,abnocto
κακόσχολος,nugatrix
ἀνασειράζω,supertraho
σιάλωμα,labrosus
ἀμφιέννυμι,superinduo
ἀμήτωρ,ametor
σμάραγδος,smaragdinus,pseudosmaragdus
ἰσοτιμία,parilitas
παραδιακονέω,praeseruio,aduiuo
παρακολουθητικός,secutorius
ψώρα,psora,scabres
παρήγορος,consolator
εὐρυάγυια,publicitus
ἐλαφοειδής,ceruarius,damula
γενεθλιαλογία,genethliacus
σύνδηλος,manifestarius
τίνω,stipendior
προσορμίζω,ancorarius
λευκήρης,percandidus
τολμηρός,audacia
πρόσκοψις,infrictio,attritio
δυηπαθής,peracerbus
ὑποτρόπιος,subalaris
πατριάρχης,patriarcha
φιλαυτία,met
δάσσω,dispesco
ἀναλογισμός,supputatio
τραχύνω,confragosus,aspretum
παιδοσπορέω,regigno
κάθειρξις,conclusus
διαπατέω,supercalco,exculco
ἀποσημαίνω,prognosticon
σύζυξ,iniunctus
δυσπαθέω,condoleo
ἐπικωλύω,districtio
αὐτόσε,istim
ἀταμίευτος,innabilis
κυνοκοπέω,catulinus
παραστρατηγέω,commurmuratio
τῦφος,deliramentum
προσδοκέω,cogitatio
κακόνυμφος,plerus
ἀτάλλω,acerus
ἐπικατακοιμάομαι,supercubo,perdormisco
πρεπτός,clareo
ἐξευρίσκω,reperio
κεκραμένως,caseatus
πολυύμνητος,famigeratus
ψάω,infrico
προσεμφανίζω,dissereno
δειδίσσομαι,terrifico
πλήμνη,rotula
θριπήδεστος,uermiculatio
ψάρ,sturnus
ἐρικλάγκτης,multisonus
παραιτέομαι,posco
λιπάω,perungo
αὐτοπρόσωπος,idiographus
ἀποδιορίζω,depungo
ἑλλέβορος,elleborus,ueratrum
εὐοργησία,contempero
ᾀσματοκάμπτης,ode
παιδοφόνος,siriasis
φθισικός,phthisicus,syntecticus
ἀνακτάομαι,reparo
ἀπομαντεύομαι,praescitum
κατασπειράω,datarius
ποτηριοφόρος,ciborium
ἀποσχίζω,interscindo
καθέδρα,sessibulum
σαῦλος,glomeratio
ἐμπέραμος,herbarius
ἐντυλίσσω,circumuestio
χρεῖος,indiguus
χάρμα,gaudium,libentia
ἐφηβάω,uirilitas
ἐπίκουρος,patronus
δυστίβευτος,inodoro
ὑγροτροφικός,aquatilis
ἄφερκτος,secludo
τοκίζω,anatocismus
ἔκπλοος,introitus
ὑποκύπτω,conquinisco
πομπός,satelles
βότρυς,uua
ἀξίωσις,dignatio
ποταμόκλυστος,ubis
ἀβυρτακοποιός,mictus,mellificium
περιναιετάω,circumcolo
ἀπαλλαξείω,optatio
μύρτων,ganeo,asotus
νῦν,nunc,iam
ἐκλογίζομαι,computo
ἁδρόομαι,ualentulus
ἀλλογλωσσία,leucrion
μονόσκηπτρος,sceptriger
παρακλέπτω,suffuror
συνοχεύς,detentor
πολεμοφθόρος,abusus
προσχαρίζομαι,libidinor
πεδίζω,praeuincio,numella
ἀμφηρεφής,corticatus
ἀνεξέταστος,inquisitus
μοχθίζω,perpessio
πηχύνω,comprehenso
δαημοσύνη,peritia
ἐπιποθέω,attrecto
καταπολιτεύομαι,subdomo
ψηφίζω,suffragor
χεζητιάω,inopiosus
τοῖχος,costa
δέκτης,mendicabulum
σταλάσσω,guttula,guttatim
ὠνητής,emptor
βαμβαίνω,frigiditas
ἀπαστράπτω,praefulguro
λατομεῖον,lautumius,columnar
εἰλικρινέω,compurgo
πολυτελέω,impendiosus
καλλίπρῳρος,perpulcher,philocalia
ἀγχιστεύω,enubo
εὐήθης,simplico
ἀγχιστεύς,captatorius
αἰκισμός,perculsus
λιχνεία,ingluuies
δωρέω,munifico
οἰκόδομος,architectus,euthygrammum
λαοδογματικός,contionarius
σκύβαλον,laetamen
ἑψιάομαι,oblecto
μεσόδμη,trabalis
ἐκπνέω,proflo
παππάζω,introuoco
ἐπιμανδαλωτόν,philema
ταναόδειρος,iampridem
ἑψητός,defrutum,hepsema
ἀγέλη,armentum
οἰνοβαρείων,temulenter
βεβαίωμα,expertio
τετράρχης,tetrarchia
χρυσοκάρηνος,aurosus,cephalicus
τετραθέλυμνος,quadridens
τοξικός,arcuo
ἀκοή,auditus,auditio
συνεξερευνάω,perspeculor,conuiso
μαραίνω,euanesco
ἀνδραγάθημα,uiratus
ὁμόστολος,ascyroides
βριθύς,praegrauis
ἀνάσιμος,silus
θριαμβικός,decemuiralis
ἐκφροντίζω,exopinisso
ὁποῖος,qualis
κηρίων,cerarius
ὄρνις,auis
τετραπλῇ,quadruus,quadrifarius
κύκλιος,circino
στελεχόω,decaulesco
κατακολλάω,glus
διαδείκνυμι,declaro
μεταδαίνυμαι,dapalis
ἐξέρομαι,requirito
κοπρών,forica
ἠμύω,collabor
ἐπακρίζω,punctim
ἐνευλογέομαι,beatitas
περιψάω,extergeo,pertergeo
εἰσκομιδή,inuectus
κατατρίβω,detero
ἀντρώδης,cuniculosus
ἀθῷος,asymbolus
ὀχθώδης,tumulosus
σηπία,sepia
ἀναχωρέω,recedo
καταστρέφω,ultimo
κήδευμα,desponsor
πορνικός,scortor
ὠσχοφορέω,emodulor,decano
ἐκεῖνος,ille
στόλος,iter
μακρόθυμος,longanimis
κυαμευτός,fabarius
κακορρέκτης,maliloquium
προβατεία,ouinus,ouillus
διάνοια,cogitatio
ψιλοκιθαριστής,hydraula,suauiludius
εἰρέω,indicens
πάκτον,abloco
ὄναρ,somnio,insomnium
φέρετρον,feretrum
ἐπεξαμαρτάνω,peccantia
φαιδρωπός,praefulgidus
κνησμώδης,scabitudo,pruritiuus
πορεύσιμος,possibilis
ἀτιμάζω,indignus
δεῖξις,proba
ἐπιτροφή,uictuarius
συμφοιτάω,beto
ἀρτοποιέω,artopta
μετάφρενον,occipitium
ταραντῖνον,byssinus
φιλήτωρ,deliciolae
φιλέλλην,aelurus
προσλογοποιέω,interstruo
μεθέπω,conquiro
ἀντλέω,sentina
ὑδατώδης,aquatilis
συγκοιμίζω,lectualis
ἀνθρωποειδής,idos
παρεκτείνω,extento,exporrigo
προδιοικέω,praemigro
διακοσμέω,imperatus
καλλιζυγής,patibulatus
πημαίνω,zamia
ἀχάριτος,peringratus
τοπικός,localis
φιλυπήκοος,rhyparographos
καταιβατός,demeo
ἀγρώσσω,uenaticus
νεᾶνις,puera
ἱππολεχής,antegenitalis
ὑπηρέτημα,praeseruio
ὁμιλητικός,congregabilis
ἱππάριον,canterinus,caballinus
ἐξερύκω,propulso
πορπακίζομαι,manubriatus
χασκάζω,oscitabundus
ἱερατικός,sacerdotalis
ῥίψοπλος,euocator
ὑποτύπτω,fligo
ἐγκλιδόν,limulus
ὑψίπυργος,turritus
ἑλικτήρ,spicifer
φρίκη,horrentia
τελεστήριον,initiamenta
διδασκαλεῖον,condiscipulus
κολλύριον,stacton
ἀναμπλάκητος,inerrabilis
κακοδαιμονάω,daemonium
πνιγώδης,suffocatio
περίπυστος,perlate
ἐκλειπτέον,gleucinus
ὄθομαι,dispectus
ἔκλευκος,percandidus
τρυγάω,uindemio
καταγορεύω,obnuntio
ἐθέλω,nolo
ἐπιτροπικός,curatorius
θορυβάζομαι,lientericus
συμμεταλαμβάνω,participo
κόλλυβος,semiphalarica
ἀπόλεμος,imbellis
ὀλιγόπιστος,somniator
πτέρνη,calcaneum,fulmenta
κερματίζω,chalcus
συμπράσσω,auxilior
νυμφεῖος,zygia
ὀρνιθάριον,galbina,galgulus
ἀσμενιστός,acceptabilis
εἰσωπός,intergarritus
λαέρτης,formica,uespa
ἐπαρκούντως,fatim,sufficienter
πρόξ,ceruarius
ἕνωσις,coagmentatio
ὁμόδιφρος,aurigatio
σίνος,malefacio
ταρβέω,reformido
μαλθακίζομαι,muricidus
ἀποδοχή,ascitus
προσπταίω,offenso
ἴδρις,formica
οἴσπη,ouinus
φοινικοφαής,rubicundulus
ἀπρέπεια,indecentia
ὑπαντιάζω,oppeto
περικλάω,conflexus
κυκλωπία,famigeratio
παλαιός,antiquus,uetus
ἐπιγλωσσίς,uocabilis
συμμηχανάομαι,meditator
ἀποσφράγισμα,signaculum
παλαιόω,uetero
προγένειος,barbiger
ἐπιπαραγίγνομαι,superuenio
ἀπερητύω,cluniculus
ἀκράτισμα,ientaculum,pransorius
ὑποβλήδην,interpellatio
περίδραξις,deplexus
κῶλον,membrum
δύσπαρις,spinturnicium
ἰχθυοειδής,phager,ophthalmias
διάρρους,permeatus
ἐποικοδομέω,inaedifico
ἄδουλος,incomitatus
ἀντισυλλογίζομαι,interrogatiuncula
εἰσφρέω,eloco
δογματίζω,plebiscitum
καρπαία,mimarius,archimimus
διαρκούντως,fatim,sufficienter
ἐλαφρός,lumen
ἀηδών,aedon
φιλήμων,perbenigne
καμπτήρ,oricilla
προπολεμέω,hetaerice
σελαγή,fulgidus
πρᾶγμα,negotium
θανάσιμος,defunctus,letifer
καταζαίνω,torrefacio,retorresco
ἀνθέλκω,peruello
βαπτισμός,baptisma
ἀπνευστί,spiratio,inhalatus
εἰ,si
προσβατός,peruiam
χρυσόθρονος,aurosus
ἀγκάλισμα,deliciolae
ἀσηρός,sympathia
ἀδυνατέω,impossibilis
συμμαίνομαι,mania
ἀκταινόω,intollo,suberigo
ἀπόκτισις,consitio
συνδιαιτητής,uerticula
γερήνιος,caelitus,alicunde
παρηβάω,praeterfluo
σκαλίς,sarculatio
περιφράσσω,consaepto
ἀντίληψις,perteneo
καθαριόω,circumpurgo
χοίρα,scrofinus,porcula
αἰώνιος,perpes
μορφασμός,chironomia
καιρία,funiculus
κηρύκειος,ceryx,praeco
ἄγνωστος,incognitus
παίδευσις,eruditio
ἀκόμψευτος,inexcultus
δυσανδρία,inopiosus
σανίδιον,axiculus
περίκειμαι,rotundo
ἀδίκημα,admissum
ἀδιάρθρωτος,uertebratus
ἰατροτέχνης,aniatrologetus
κόσμιος,ordinarius
διαγώνιος,angulatim,angellus
λυγίζω,incuruesco
χλαῖνα,chlamys
σεληνόφως,illunis
πλύμα,prostibula
οὐρανοῦχος,caelipotens
φλέψ,uena,uenula
φλέω,blatio
προδοξάζω,praeformo
ὁμόζυξ,cunnus
ἀντίφασις,obloquium
λεπτύνω,petilus
κατάσβεσις,suppositio,antiptosis
ἐνδημέω,persedeo
ἑταίρησις,obscenitas
κηρύκειον,gerulum
προέρχομαι,progredior
ἡγήτωρ,antesignanus
δυσέντευκτος,inoptatus
ἄθετος,adoptaticius
συγκαταλύω,adiutus
κακηγορέω,maledicentia,maliloquium
ἀποικίζω,amando
ὑγροβαφής,tinctilis
ἐκβιάζω,coacto
αὐλέω,ludo
κάθαρσις,smecticus
κιρρός,subaquilus
εὔσπλαγχνος,medicabulum
λαξεύω,circumdolo,dedolo
νηποινεί,impunitas
δυσμαχέω,propugno
ἀνερείπομαι,compilo
ἀποξύω,derado
συναγυρτός,collectaneus
ἱεράτευμα,galliambus
δικαιοδοτέω,iuridicus
ἀποπνέω,proflo
κατωμαδόν,catomus,catomidio
παρεισπίπτω,collabor
κεράτιον,libralis
εὐβουλεύς,celebrator
ἄληκτος,interminabilis
ἀπαναγκάζω,uiriculae
διακρούω,subterfugio
παρηγορία,adhortatus
οἰώνισις,exauspico
ἐπιτρέπω,relinquo
ῥιψοκίνδυνος,parabolus
ἐγγιάω,perpropinquus
ἀλωπεκιδεύς,uulpio
ὑπεκρέω,contabesco
ἱερά,draconteus,anguis
ἀντιφέρω,affrango
ἀφορία,sterilitas
παλαιόφρων,sophia,sapientipotens
ῥυσίβωμος,defensito
ἀνάντης,accliuis
διαρθρωτικός,idos
κακοβουλία,aegreo
ὑποψία,suspiciosus
μυδροκτύπος,solliferreum
ἄπτερος,dipteros
περιτρομέω,attremo
εὐγεφύρωτος,ponticulus
σφάλμα,offenso
ὁμαλύνω,inaequo
ἐνυφαίνω,attexo
σκευόφορος,sarcinarius
καταβλέπω,dispecto
